timestamp,open,high,low,close,volume
2020-02-12,89.6500,90.1500,86.7700,87.0000,2202969
2020-02-11,84.0000,89.6500,83.6900,88.5000,3517361
2020-02-10,81.3600,82.7700,80.8650,82.7500,1412987
2020-02-07,82.8600,83.0800,81.2400,81.3400,1194923
2020-02-06,82.5300,83.3806,81.5000,83.0700,1135762
2020-02-05,80.7200,82.6300,80.7200,82.1700,836612
2020-02-04,80.2400,81.1600,80.1200,80.6700,701783
2020-02-03,80.0000,80.3000,79.1600,79.2200,708918
2020-01-31,82.1500,82.5900,79.4100,79.8700,1723517
2020-01-30,82.4700,82.7200,80.9700,82.6600,1006752
2020-01-29,82.8500,83.7000,82.2300,83.0800,1009509
2020-01-28,82.4000,83.1325,82.2150,82.9000,546907
2020-01-27,82.1000,82.6900,81.5900,82.0300,1086671
2020-01-24,82.1100,85.5900,82.0100,83.1900,2203909
2020-01-23,80.2400,80.5300,79.1500,80.5000,970205
2020-01-22,79.9500,80.6700,79.5300,80.5500,860233
2020-01-21,79.4700,80.0800,79.0300,79.9000,1028188
2020-01-17,79.1300,79.5000,78.9600,79.4700,815553
2020-01-16,78.3900,79.0300,78.1150,78.9900,588929
